Code,Year,production,country,sum_of_cases,sum_of_deaths,confirmed_cases_in_the_last_14_days,population,yearly_change,netchange,density,landarea,migrants,fert_rate,med_age,urban_pop_perc,worldshare,consumption
MRT,2018,4715,Mauritania,6789.0,157.0,407.0,4649658,2.74,123962,5,1030700,5000,4.6,20,57,0.06,
MUS,2018,49104,Mauritius,346.0,10.0,2.0,1271768,0.17,2100,626,2030,0,1.4,37,41,0.02,
MEX,2018,3376715,Mexico,531239.0,57774.0,81278.0,128932753,1.06,1357224,66,1943950,-60000,2.1,29,84,1.65,26.610340175832
MDA,2018,45695,Moldova,30789.0,908.0,4975.0,4033963,-0.23,-9300,123,32850,-1387,1.3,38,43,0.05,
MNG,2018,243,Mongolia,298.0,0.0,5.0,3278290,1.65,53123,2,1553560,-852,2.9,28,67,0.04,
MNE,2018,4010,Montenegro,4132.0,80.0,771.0,628066,0.01,79,47,13450,-480,1.8,39,68,0.01,
MSR,2018,84,Montserrat,13.0,1.0,0.0,4992,0.06,3,50,100,N.A.,N.A.,10,0.00,,
MAR,2018,774973,Morocco,43558.0,681.0,16341.0,36910560,1.2,438791,83,446300,-51419,2.4,30,64,0.47,
MOZ,2018,88781,Mozambique,2914.0,19.0,885.0,31255435,2.93,889399,40,786380,-5000,4.9,18,38,0.4,1.81766957547047
MMR,2018,1896358,Myanmar,379.0,6.0,23.0,54409800,0.67,364380,83,653290,-163313,2.2,29,31,0.7,
NAM,2018,14936,Namibia,4464.0,37.0,1994.0,2540905,1.86,46375,3,823290,-4806,3.4,22,55,0.03,
NPL,2018,60402,Nepal,28257.0,114.0,7248.0,29136808,1.85,528098,203,143350,41710,1.9,25,21,0.37,
NLD,2018,1074427,Netherlands,63911.0,6166.0,7956.0,17134872,0.22,37742,508,33720,16000,1.7,43,92,0.22,
NCL,2018,862,New Caledonia,23.0,0.0,1.0,285498,0.97,2748,16,18280,502,2.0,34,72,0.0,
NZL,2018,231629,New Zealand,1299.0,22.0,80.0,4822233,0.82,39170,18,263310,14881,1.9,38,87,0.06,38.17957751027021
NIC,2018,139843,Nicaragua,4311.0,133.0,409.0,6624554,1.21,79052,55,120340,-21272,2.4,26,57,0.08,
NER,2018,19109,Niger,1167.0,69.0,15.0,24206644,3.84,895929,19,1266700,4000,7.0,15,17,0.31,
NGA,2018,192689,Nigeria,49895.0,981.0,5462.0,206139589,2.58,5175990,226,910770,-60000,5.4,18,52,2.64,0.908140035289287
NOR,2018,98158,Norway,10060.0,262.0,727.0,5421241,0.79,42384,15,365268,28000,1.7,40,83,0.07,
OMN,2018,6561,Oman,83418.0,597.0,4259.0,5106626,2.65,131640,16,309500,87400,2.9,31,87,0.07,
PAK,2018,1396127,Pakistan,289832.0,6190.0,8696.0,220892340,2.0,4327022,287,770880,-233379,3.6,23,35,2.83,4.48424083684171
PAN,2018,208519,Panama,82790.0,1809.0,13366.0,4314767,1.61,68328,58,74340,11200,2.5,30,68,0.06,
PNG,2018,6629,Papua New Guinea,347.0,3.0,233.0,8947024,1.95,170915,20,452860,-800,3.6,22,13,0.11,
PRY,2018,48216,Paraguay,10606.0,161.0,4754.0,7132538,1.25,87902,18,397300,-16556,2.4,26,62,0.09,6.05233206379888
PER,2018,1581767,Peru,549321.0,26658.0,109431.0,32971854,1.42,461401,26,1280000,99069,2.3,31,79,0.42,38.3342275925825
PHL,2018,1379818,Philippines,169213.0,2687.0,56620.0,109581078,1.35,1464463,368,298170,-67152,2.6,26,47,1.41,12.1603641728679
POL,2018,1711195,Poland,57876.0,1896.0,9727.0,37846611,-0.11,-41157,124,306230,-29395,1.4,42,60,0.49,
PRT,2018,353082,Portugal,54448.0,1784.0,2767.0,10196709,-0.29,-29478,111,91590,-6000,1.3,46,66,0.13,
PRI,2018,41800,Puerto Rico,27713.0,346.0,8389.0,2860853,-2.47,-72555,323,8870,-97986,1.2,44,N.A.,0.04,
QAT,2018,10004,Qatar,115661.0,193.0,4123.0,2881053,1.73,48986,248,11610,40000,1.9,32,96,0.04,
ROU,2018,479867,Romania,72208.0,3074.0,16967.0,19237691,-0.66,-126866,84,230170,-73999,1.6,43,55,0.25,
RUS,2018,4543002,Russia,932493.0,15872.0,71070.0,145934462,0.04,62206,9,16376870,182456,1.8,40,74,1.87,28.8609439793895
RWA,2018,15725,Rwanda,2577.0,10.0,478.0,12952218,2.58,325268,525,24670,-9000,4.1,20,18,0.17,
LCA,2018,1608,Saint Lucia,26.0,0.0,1.0,183627,0.46,837,301,610,0,1.4,34,19,0.0,
SAU,2018,554332,Saudi Arabia,301333.0,3470.0,19898.0,34813871,1.59,545343,16,2149690,134979,2.3,32,84,0.45,44.7106052276773
SEN,2018,64146,Senegal,12305.0,256.0,1873.0,16743927,2.75,447563,87,192530,-20000,4.7,19,49,0.21,
SRB,2018,95556,Serbia,29890.0,681.0,3152.0,8737371,-0.4,-34864,100,87460,4000,1.5,42,56,0.11,
SYC,2018,565,Seychelles,127.0,0.0,1.0,98347,0.62,608,214,460,-200,2.5,34,56,0.0,
SLE,2018,16547,Sierra Leone,1959.0,69.0,104.0,7976983,2.1,163768,111,72180,-4200,4.3,19,43,0.1,
SGP,2018,106750,Singapore,55938.0,27.0,2592.0,5850342,0.79,46005,8358,700,27028,1.2,42,N.A.,0.08,
SVK,2018,76642,Slovakia,2922.0,31.0,554.0,5459642,0.05,2629,114,48088,1485,1.5,41,54,0.07,
SVN,2018,68963,Slovenia,2456.0,124.0,266.0,2078938,0.01,284,103,20140,2000,1.6,45,55,0.03,
SOM,2018,3841,Somalia,3257.0,93.0,37.0,15893222,2.92,450317,25,627340,-40000,6.1,17,47,0.2,
ZAF,2018,1761739,South Africa,592144.0,12264.0,70826.0,59308690,1.28,750420,49,1213090,145405,2.4,28,67,0.76,32.5499213486957
KOR,2018,885091,South Korea,16058.0,306.0,1602.0,51269185,0.09,43877,527,97230,11731,1.1,44,82,0.66,16.8750998761004
SSD,2018,20000,South Sudan,2490.0,47.0,53.0,11193725,1.19,131612,18,610952,-174200,4.7,19,25,0.14,
ESP,2018,1621718,Spain,364196.0,28670.0,58429.0,46754778,0.04,18002,94,498800,40000,1.3,45,80,0.6,
LKA,2018,187312,Sri Lanka,2902.0,11.0,68.0,21413249,0.42,89516,341,62710,-97986,2.2,34,18,0.27,
SDN,2018,70000,Sudan,12485.0,805.0,705.0,43849260,2.42,1036022,25,1765048,-50000,4.4,20,35,0.56,0.00099378011
SUR,2018,10877,Suriname,3216.0,54.0,1235.0,586632,0.9,5260,4,156000,-1000,2.4,29,65,0.01,
SWZ,2018,6048,Eswatini,3989.0,76.0,1133.0,1160164,1.05,12034,67,17200,-8353,3.0,21,30,0.01,
SWE,2018,161000,Sweden,85219.0,5790.0,4038.0,10099265,0.63,62886,25,410340,40000,1.9,41,88,0.13,
CHE,2018,97446,Switzerland,38352.0,1716.0,2695.0,8654622,0.74,63257,219,39516,52000,1.5,43,74,0.11,
SYR,2018,115797,Syria,1764.0,68.0,872.0,17500658,2.52,430523,95,183630,-427391,2.8,26,60,0.22,
TWN,2018,692797,Taiwan,486.0,7.0,10.0,23816775,0.18,42899,673,35410,30001,1.2,42,79,0.31,
TJK,2018,1733,Tajikistan,8131.0,65.0,548.0,9537645,2.32,216627,68,139960,-20000,3.6,22,27,0.12,
TZA,2018,102322,Tanzania,509.0,21.0,0.0,59734218,2.98,1728755,67,885800,-40076,4.9,18,37,0.77,1.4754985152783102
THA,2018,1779843,Thailand,3382.0,58.0,54.0,69799978,0.25,174396,137,510890,19444,1.5,40,51,0.9,10.0226457124907
TGO,2018,35557,Togo,1173.0,27.0,185.0,8278724,2.43,196358,152,54390,-2000,4.4,19,43,0.11,
TTO,2018,65041,Trinidad and Tobago,629.0,12.0,435.0,1399488,0.32,4515,273,5130,-800,1.7,36,52,0.02,
TUN,2018,216746,Tunisia,2185.0,56.0,601.0,11818619,1.06,123900,76,155360,-4000,2.2,33,70,0.15,
TUR,2018,2229096,Turkey,251805.0,6016.0,16871.0,84339067,1.09,909452,110,769630,283922,2.1,32,76,1.08,17.7974771694983
UGA,2018,69548,Uganda,1603.0,15.0,400.0,45741007,3.32,1471413,229,199810,168694,5.0,17,26,0.59,
UKR,2018,1286786,Ukraine,94436.0,2116.0,20217.0,43733762,-0.59,-259876,75,579320,10000,1.4,41,69,0.56,23.669710657332395
ARE,2018,48200,United Arab Emirates,64906.0,366.0,3554.0,9890402,1.23,119873,118,83600,40000,1.4,33,86,0.13,
GBR,2018,1939132,United Kingdom,320286.0,41381.0,13993.0,67886011,0.53,355839,281,241930,260650,1.8,40,83,0.87,
USA,2018,22298230,United States,5482416.0,171821.0,711329.0,331002651,0.59,1937734,36,9147420,954806,1.8,38,83,4.25,47.7563331760472
URY,2018,31630,Uruguay,1485.0,40.0,185.0,3473730,0.35,11996,20,175020,-3000,2.0,36,96,0.04,16.3651101642911
UZB,2018,64731,Uzbekistan,36760.0,245.0,9446.0,33469203,1.48,487487,79,425400,-8863,2.4,28,50,0.43,
VEN,2018,665210,Venezuela,35697.0,297.0,14259.0,28435940,-0.28,-79889,32,882050,-653249,2.3,30,N.A.,0.36,
VNM,2018,947018,Vietnam,989.0,26.0,317.0,97338579,0.91,876473,314,310070,-80000,2.1,32,38,1.25,14.0263427476966
YEM,2018,179768,Yemen,1886.0,536.0,126.0,29825964,2.28,664042,56,527970,-30000,3.8,20,38,0.38,
ZMB,2018,49487,Zambia,9981.0,264.0,3401.0,18383955,2.93,522925,25,743390,-8000,4.7,18,45,0.24,2.59960046952763
ZWE,2018,66022,Zimbabwe,5378.0,141.0,1157.0,14862924,1.48,217456,38,386850,-116858,3.6,19,38,0.19,
